"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"LOC101928988","WT","EX","NOTEST",0.0695501,0.204112,1.55323,0,1,1,"no"
"LOC101928989","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928992","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928994","WT","EX","NOTEST",0.0164609,0,-Inf,0,1,1,"no"
"LOC101928995","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929019","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929023","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929034","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929057","WT","EX","NOTEST",0.0258787,0.0107088,-1.27297,0,1,1,"no"
"LOC101929058","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929064","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929066","WT","EX","OK",0.415612,0.571473,0.459446,0.0602607,0.7245,0.915891,"no"
"LOC101929073","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929076","WT","EX","NOTEST",0.0100461,0.0176852,0.815909,0,1,1,"no"
"LOC101929080","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929084","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929089","WT","EX","OK",0.639979,0.459342,-0.478455,-0.0541615,0.6465,0.880207,"no"
"LOC101929095","WT","EX","NOTEST",0.089735,0,-Inf,0,1,1,"no"
"LOC101929099","WT","EX","NOTEST",0.0178587,0.0233489,0.386727,0,1,1,"no"
"LOC101929106","WT","EX","NOTEST",0.016854,0,-Inf,0,1,1,"no"
"LOC101929116","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929122","WT","EX","NOTEST",0.249308,0.0881924,-1.4992,0,1,1,"no"
"LOC101929123","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929124","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929125","WT","EX","NOTEST",0.204286,0.104388,-0.96863,0,1,1,"no"
"LOC101929128","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929140","WT","EX","NOTEST",0.262448,0.152959,-0.778887,0,1,1,"no"
"LOC101929144","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929147","WT","EX","OK",4.67775,4.31872,-0.11521,-0.177513,0.7642,0.929177,"no"
"LOC101929148","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929153","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929154","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929162","WT","EX","NOTEST",0.0557199,0.0244088,-1.19079,0,1,1,"no"
"LOC101929164","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929172","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929181","WT","EX","NOTEST",0,0.0140378,Inf,0,1,1,"no"
"LOC101929194","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929199","WT","EX","NOTEST",0.00668661,0.00623135,-0.101732,0,1,1,"no"
"LOC101929207","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929210","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929217","WT","EX","NOTEST",0.225939,0.0861407,-1.39117,0,1,1,"no"
"LOC101929224","WT","EX","NOTEST",0.217674,0.105021,-1.05148,0,1,1,"no"
"LOC101929229","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929231","WT","EX","OK",0.732042,0.498593,-0.554064,-0.145443,0.79505,0.943463,"no"
"LOC101929234","WT","EX","NOTEST",0.197837,0.344999,0.802284,0,1,1,"no"
"LOC101929237","WT","EX","NOTEST",0.00462299,0.00612415,0.405682,0,1,1,"no"
"LOC101929239","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929241","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929259","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929260","WT","EX","NOTEST",0.0135047,0.0311578,1.20613,0,1,1,"no"
"LOC101929268","WT","EX","NOTEST",0.0505753,0.0236286,-1.0979,0,1,1,"no"
"LOC101929279","WT","EX","NOTEST",0.00686331,0.0119683,0.80224,0,1,1,"no"
"LOC101929282","WT","EX","NOTEST",0.0788724,0,-Inf,0,1,1,"no"
"LOC101929284","WT","EX","NOTEST",0,0.0298091,Inf,0,1,1,"no"
"LOC101929294","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929295","WT","EX","NOTEST",0.0921846,0.131406,0.511438,0,1,1,"no"
"LOC101929297","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929312","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929315","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929319","WT","EX","NOTEST",0.0182882,0,-Inf,0,1,1,"no"
"LOC101929331","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929337","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929340","WT","EX","NOTEST",0,0.0525808,Inf,0,1,1,"no"
"LOC101929353","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929371","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929372","WT","EX","NOTEST",0.00895711,0.0101675,0.182867,0,1,1,"no"
"LOC101929374","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929378","WT","EX","NOTEST",0.0822204,0.0613575,-0.422256,0,1,1,"no"
"LOC101929380","WT","EX","NOTEST",0.0106553,0,-Inf,0,1,1,"no"
"LOC101929384","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929395","WT","EX","NOTEST",0.0953486,0.0475819,-1.0028,0,1,1,"no"
"LOC101929406","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929412","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101929413","WT","EX","NOTEST",0,0.0118622,Inf,0,1,1,"no"
"LOC101929415","WT","EX","OK",0.315138,1.01917,1.69334,0.755097,0.543,0.822797,"no"
"LOC101929420","WT","EX","NOTEST",0,0,0,0,1,1,"no"
