"gene_id","rep_name","fpkm"
"AGPAT6","EX_0",12.3835
"AGPAT9","EX_0",2.96296
"AGPS","EX_0",6.11524
"AGR2","EX_0",0
"AGR3","EX_0",0
"AGRN","EX_0",14.0214
"AGRP","EX_0",0
"AGT","EX_0",1.11399
"AGTPBP1","EX_0",2.50345
"AGTR1","EX_0",6.09235
"AGTR2","EX_0",0
"AGTRAP","EX_0",39.1287
"AGXT","EX_0",0
"AGXT2","EX_0",0
"AHCTF1","EX_0",9.25222
"AHCTF1P1","EX_0",1.28741
"AHCY","EX_0",36.2669
"AHCYL1","EX_0",33.4435
"AHCYL2","EX_0",3.51979
"AHDC1","EX_0",3.58931
"AHI1","EX_0",3.0851
"AHNAK","EX_0",180.954
"AHNAK2","EX_0",4.92202
"AHR","EX_0",10.0366
"AHRR","EX_0",3.07741
"AHSA1","EX_0",38.6119
"AHSA2","EX_0",18.4811
"AHSG","EX_0",0
"AHSP","EX_0",0
"AICDA","EX_0",0.0233447
"AIDA","EX_0",20.8176
"AIF1","EX_0",0
"AIF1L","EX_0",0.167526
"AIFM1","EX_0",10.5131
"AIFM2","EX_0",10.1397
"AIFM3","EX_0",0.204671
"AIG1","EX_0",19.1843
"AIM1","EX_0",2.39217
"AIM1L","EX_0",0
"AIM2","EX_0",0
"AIMP1","EX_0",17.9091
"AIMP2","EX_0",11.5939
"AIP","EX_0",26.3911
"AIPL1","EX_0",0
"AIRE","EX_0",0
"AIRN","EX_0",0
"AJAP1","EX_0",0
"AJUBA","EX_0",4.92115
"AK1","EX_0",28.0623
"AK2","EX_0",17.01
"AK3","EX_0",29.4945
"AK4","EX_0",7.07727
"AK5","EX_0",9.24518
"AK6","EX_0",17.8697
"AK7","EX_0",0.167767
"AK8","EX_0",0.393357
"AK9","EX_0",1.04177
"AKAP1","EX_0",6.00286
"AKAP10","EX_0",8.83075
"AKAP11","EX_0",8.85328
"AKAP12","EX_0",118.301
"AKAP13","EX_0",14.0579
"AKAP14","EX_0",0
"AKAP17A","EX_0",0
"AKAP2","EX_0",59.7613
"AKAP3","EX_0",0.239767
"AKAP4","EX_0",0
"AKAP5","EX_0",0.0487251
"AKAP6","EX_0",0.28828
"AKAP7","EX_0",2.39921
"AKAP8","EX_0",10.2063
"AKAP8L","EX_0",15.6366
"AKAP9","EX_0",4.98528
"AKIP1","EX_0",23.507
"AKIRIN1","EX_0",18.6162
"AKIRIN2","EX_0",24.3529
"AKNA","EX_0",2.04492
"AKNAD1","EX_0",0.147191
"AKR1A1","EX_0",26.1936
"AKR1B1","EX_0",61.7198
"AKR1B10","EX_0",0.203791
"AKR1B15","EX_0",0
"AKR1C1","EX_0",507.455
"AKR1C2","EX_0",16.0707
"AKR1C3","EX_0",61.3697
"AKR1C4","EX_0",0.756523
"AKR1C6P","EX_0",0
"AKR1C8P","EX_0",0
"AKR1D1","EX_0",0
"AKR1E2","EX_0",0.43285
"AKR7A2","EX_0",18.2247
"AKR7A2P1","EX_0",0.0403558
"AKR7A3","EX_0",0.193048
"AKR7L","EX_0",0.150172
"AKT1","EX_0",56.9934
"AKT1S1","EX_0",38.2883
"AKT2","EX_0",22.3911
"AKT3","EX_0",11.0869
"AKTIP","EX_0",8.93672
"ALAD","EX_0",27.873
"ALAS1","EX_0",18.2078
"ALAS2","EX_0",0
"ALB","EX_0",0.0257359
"ALCAM","EX_0",43.96
"ALDH16A1","EX_0",5.50555
"ALDH18A1","EX_0",16.6595
"ALDH1A1","EX_0",7.16528
"ALDH1A2","EX_0",0.0710547
"ALDH1A3","EX_0",15.5113
"ALDH1B1","EX_0",12.5608
"ALDH1L1","EX_0",0.0710287
"ALDH1L1-AS1","EX_0",0
"ALDH1L1-AS2","EX_0",0
"ALDH1L2","EX_0",12.6006
"ALDH2","EX_0",82.1121
"ALDH3A1","EX_0",0
"ALDH3A2","EX_0",9.96574
"ALDH3B1","EX_0",18.6058
"ALDH3B2","EX_0",0
"ALDH4A1","EX_0",8.16847
"ALDH5A1","EX_0",0.0924075
"ALDH6A1","EX_0",7.68983
"ALDH7A1","EX_0",10.2249
"ALDH8A1","EX_0",0.0475156
"ALDH9A1","EX_0",65.7767
"ALDOA","EX_0",522.239
"ALDOB","EX_0",0.0679749
"ALDOC","EX_0",8.72427
"ALG1","EX_0",6.08008
"ALG10","EX_0",0.934031
"ALG10B","EX_0",1.02184
"ALG11","EX_0",4.56489
"ALG12","EX_0",10.4389
"ALG13","EX_0",6.26421
"ALG14","EX_0",5.07589
"ALG1L","EX_0",0.0773628
"ALG1L2","EX_0",0
"ALG1L9P","EX_0",0.153533
"ALG2","EX_0",16.2802
"ALG3","EX_0",11.8457
"ALG5","EX_0",23.2717
"ALG6","EX_0",2.21838
"ALG8","EX_0",11.6659
"ALG9","EX_0",4.94824
"ALK","EX_0",0.00844494
"ALKBH1","EX_0",2.84818
"ALKBH2","EX_0",7.99337
"ALKBH3","EX_0",5.92485
"ALKBH3-AS1","EX_0",0.0308782
"ALKBH4","EX_0",3.71622
"ALKBH5","EX_0",27.3135
"ALKBH6","EX_0",5.73238
"ALKBH7","EX_0",15.8607
"ALKBH8","EX_0",2.484
"ALLC","EX_0",0
"ALMS1","EX_0",0.928017
"ALMS1-IT1","EX_0",0.118757
"ALMS1P","EX_0",0
"ALOX12","EX_0",0.108092
"ALOX12-AS1","EX_0",1.45813
"ALOX12B","EX_0",0
"ALOX12P2","EX_0",0
"ALOX15","EX_0",0.020103
"ALOX15B","EX_0",1.38515
"ALOX15P1","EX_0",0
"ALOX5","EX_0",0.0226957
"ALOX5AP","EX_0",2.22618
"ALOXE3","EX_0",0.0622143
"ALPI","EX_0",0
"ALPK1","EX_0",3.49579
"ALPK2","EX_0",1.69555
"ALPK3","EX_0",0.732503
"ALPL","EX_0",12.692
"ALPP","EX_0",0.0351077
"ALPPL2","EX_0",0
"ALS2","EX_0",5.70827
"ALS2CL","EX_0",0.098085
"ALS2CR11","EX_0",0.485502
"ALS2CR12","EX_0",0.19729
"ALX1","EX_0",0
"ALX3","EX_0",1.31069
"ALX4","EX_0",0
"ALYREF","EX_0",28.8577
"AMACR","EX_0",3.26972
"AMBN","EX_0",0
"AMBP","EX_0",0.235233
"AMBRA1","EX_0",6.18345
"AMD1","EX_0",11.0335
"AMDHD1","EX_0",0.289763
"AMDHD2","EX_0",7.0979
"AMELX","EX_0",0
"AMELY","EX_0",0
"AMER1","EX_0",0.77538
"AMER2","EX_0",0
"AMER3","EX_0",0
"AMFR","EX_0",28.7627
"AMH","EX_0",0.631933
"AMHR2","EX_0",0
"AMICA1","EX_0",0
"AMIGO1","EX_0",2.01239
"AMIGO2","EX_0",4.42849
"AMIGO3","EX_0",1.05867
"AMMECR1","EX_0",3.7779
"AMMECR1L","EX_0",6.88682
"AMN","EX_0",0
"AMN1","EX_0",1.18948
"AMOT","EX_0",1.5442
"AMOTL1","EX_0",8.19191
"AMOTL2","EX_0",36.0858
"AMPD1","EX_0",0
"AMPD2","EX_0",12.3234
"AMPD3","EX_0",6.7698
"AMPH","EX_0",6.06478
"AMT","EX_0",3.44795
"AMTN","EX_0",0
"AMY1A","EX_0",0.0350876
"AMY1B","EX_0",0.000360506
"AMY1C","EX_0",2.38975e-05
"AMY2A","EX_0",0
"AMY2B","EX_0",2.46109
"AMZ1","EX_0",0.025394
"AMZ2","EX_0",31.704
"AMZ2P1","EX_0",2.96754
"ANAPC1","EX_0",3.14565
"ANAPC10","EX_0",4.6673
"ANAPC11","EX_0",52.1448
"ANAPC13","EX_0",40.2274
"ANAPC15","EX_0",13.9219
"ANAPC16","EX_0",16.1299
"ANAPC1P1","EX_0",0.068504
"ANAPC2","EX_0",10.6839
"ANAPC4","EX_0",9.34187
"ANAPC5","EX_0",39.7176
"ANAPC7","EX_0",11.5488
"ANG","EX_0",12.4254
"ANGEL1","EX_0",3.57709
"ANGEL2","EX_0",6.17769
"ANGPT1","EX_0",27.7711
"ANGPT2","EX_0",0
"ANGPT4","EX_0",0.0251231
"ANGPTL1","EX_0",6.52381
"ANGPTL2","EX_0",63.3849
"ANGPTL3","EX_0",0
"ANGPTL4","EX_0",25.4357
"ANGPTL5","EX_0",0.0844258
"ANGPTL6","EX_0",0.200296
"ANGPTL7","EX_0",1.16361
"ANHX","EX_0",0
"ANK1","EX_0",0.194649
"ANK2","EX_0",6.56727
"ANK3","EX_0",0.00841554
"ANKAR","EX_0",0.475265
"ANKDD1A","EX_0",5.11419
"ANKDD1B","EX_0",0.414674
"ANKEF1","EX_0",0.846501
"ANKFN1","EX_0",0.0217444
"ANKFY1","EX_0",12.5263
"ANKH","EX_0",3.99176
"ANKHD1","EX_0",8.16038
"ANKHD1-EIF4EBP3","EX_0",3.19078
"ANKIB1","EX_0",11.3423
